Tweet,Label
"Za vse, ki čakate na festival Bobri: prevzem brezplačnih vstopnic za vsa prizorišča je jutri 18. 1. od 11. in 18.... http://t.co/iPP7xKYVzN",1
Glosa Zorana Senkovića: Otrok v razvoju | Dnevnik http://t.co/9PCLGYpwFW,1
"@darkob Uf, pa res ni kar tako. Pred tem je bil še malo na MNZ, če kaj vem.  Anyhoo, še vedno nimam odgovora na vprašanje. Samo to me zanima",0
"Kdo zdaj špeca državo v tujini? No, kdo?",0
"@rokpusnik ... je pa dobro, ker je inštruktor s tabo! LOL #NoMoreBolero @GobaFunk",1
"@tanjagruber365 Lej, linki, ki so gor, so nenadjebljivi. Vsa čast. Zelo koristno branje. @BreznikDorian @skeptiksi",1
"EKSKLUZIVNO: Posnetek s Trga Republike (Lj), odziv ob napovedanih dodatnih varčevalnih ukrepih! ;) #news #bucibuc http://t.co/2ydxkxISsB",0
"Koliko egoistov je potrebno, da privijejo žarnico? Samo eden, ki jo drži in se svet se vrti okoli njega! Poskrbi zase. Poskrbi za smeh! #Ego",1
"Tisti iz toplih krajev so se vrnili, zdaj postajo slike tisti iz smučišč. Še dobro, da imam twt, da se počutim skoz na dopustu.",1
"@luka_vee jaz sem si jo tam že sposodil, in bil zadovoljen s supportom",1
Všeč mi je videoposnetek @YouTube http://t.co/JN3P76vEBi SAN DI EGO - Zadnji Cent (Official Video),1
"Po govoricah zadnjič - dejansko se je našel nekdo, ki bo dal 100 jurjev za novo blamažo. Polom! #eurovision",0
"Namen nagrade za umetniške dosežke Jožetu Možini je izrazito političen, ne umetniški. http://t.co/iRYQUfPboV",0
RT @RTV_Slovenija: Slovenija se bo udeležila izbora za Pesem Evrovizije 2014 na Danskem! :-) http://t.co/jTqAqNy3q2,1
@markopotrc Vsaka korupcija se ustavi takoj ko so finance javne. :),0
"RT @FNSlo: Roman Leljak: ""RTV Slovenija me je gnusno izkoristila. Vsako mojo nebulozo so objavili brez komentarja!""",0
RT @ZNPSLO: ZNP protestira proti pretirani uporabi represivnih sredstev zoper novinarje: http://t.co/GMFUBDpRl3,0
Tudi mi glasujemo za Goran Dragić #NBABallot  :),1
"@strelovod Poguglaj me in boš imel mojih slik, kolikor hočeš, če jo pogrešaš v profilki. Sem edina s takim imenom.",1
I'm at Cantina Mexicana (Ljubljana) http://t.co/bn5HGZCcxk,1
@KCuliberg @p_zoran @zzTurk @Jure24ur Predvsem niso novinarji svetovalci v poslanskih skupina ali pa bili sodelavci nekdanjega ministra...,0
"Po pomanjkanju akcijskega temnega piva v Leclercu, vidim da tudi vam ni lahko.:S",0
"@Chuppacadabra Je, a ne? ;) Kje pa ste zdej, partibrejkerji?",0
#BMW #X1 - najbolj prodajan model BMW v Sloveniji v letu 2013! http://t.co/msRByky71P,1
"Volk z Wall Streeta, je edini film po dolgem času, ki bi ga šel gledat h kinematografom, zato ker mi ne bilo škoda 6e zaradi 3 ur filma.",1
@tanja_tancha Delo v Delu...sliši se hudo...,1
"Ameriški veleposlanik Mussolini je Slovencem razložil, da smo med osamosvojitveno vojno premalo trpeli in smo zato takšni, kot smo.",0
Če je kdo na trzinski obvoznici videl bedaka v črnem BMW-ju z odprtim pokrovom za točenje goriva.... to sem bil jst. Sue me! ;),0
"Umrl je Dušan Drofenik, nekdanji šef Banke Celje http://t.co/yXl2wPVxUy",0
Danajski zagovorniki osamosvojitve http://t.co/KgKHPC6AQc,1
"Aki, bo v današnji oddaji Dobra ura, od 16.45 dalje na TVS 1, govoril o risankah. Vabljeni! http://t.co/HK5JEpXh6g",1
"Kar čutimo, da moramo narediti, je sigurno prav..... in zato to moramo narediti, če ne se vse bolj in bolj... http://t.co/O9OPI6FQaD",1
"@rokkuzel @maticslapsak A ni ljubko? Je pa res, da sem zdajle tisto zadevo uredila na e-upravi, kar je zelo kul.",1
Na celjskem sodišču je bilo divje: pornorežiser je nokavtiral pravnika. http://t.co/oJsMHZGjHY,0
RT @DamirCrncec: V nagovoru dekana @BrdoFDS ob svečani podelitvi diplom tudi o krizi slovenske nenormalnosti...http://t.co/BZ6YVwrvTX http:…,0
Umrl je Dušan Drofenik http://t.co/BrihV66GCu @Finance_si,0
"@ZPerovic Kako naj zaupam eni spletni strani, ki zgolj nekam v globoko v tekst splošnih pogojev skrije ime osebe, s katero sklepam pogodbo?",0
Za vse ki ste kupili next-gen konzolo...prihaja Tetris! http://t.co/kqWSajvnim #fuckyeah,1
"In da enkrat pohvalim Posto - usluzbenka (novinka) je rekla, da naj ne placujem s kartico (provizija), naj prinesem denar drugic.",1
"Pujsi, psi, konji in krave na zatožni klopi http://t.co/lrkSfMIR9H",0
"Na shodu zažgali kopirane bankovce za 500 evrov, ki predstavljajo korupcijo http://t.co/lOwsL00oms http://t.co/1Xf85M27aK",0
Odhod v solzah. @ Trg Osvobodilne fronte http://t.co/Wmk5obuLdf,0
"@ZPerovic Hm, hecno, šele zdaj vidim, da je v naslovu pod kontakt. Mogoče je prevelik font. :D",0
@SLO_Super_Visor Kupnina bo šla za filanje proračunske luknje. Bomo kvečjemu malce manj revni.. @JaniMuhic,1
"@Fitzroy1985 Tvoj odgovor potrjuje mojo zlo slutnjo: vsi, ki ste okoli @ZaresGregor ste takoo zeloo naduti, da je to že noro. @petrasovdat",0
"""Vsi na ulice, ulice so naše!"" http://t.co/lOwsL00oms http://t.co/iM7hORPAmu",1
"RT @Dnevnik_si: ""Vsi na ulice, ulice so naše!"" http://t.co/lOwsL00oms http://t.co/iM7hORPAmu",1
@jernejrostan no morva pa upoštevat na zaprtje slovenske in rumeni pasovi so huda pizdarija,0
Zmeraj smo veseli zadovoljnih obrazov! https://t.co/tYxVubpOkZ,1
@GobaFunk Samo se en korak te loci do tvitanja uslikovljenih citatov! Pazi se!,0
RT @STA_novice: Danska bo zaprla veleposlaništvo v Sloveniji,0
"RT @JozeBiscak: Fišer pravi, da so stvari v Fišergatu polresnice ali izmišljene (http://t.co/dzJywmDa1c). Zakaj potem preiskava pri @DKaloh?",0
"@johnnyn Jebeš Tetris, jaz čakam na Minesweeper. :D",0
Slovenija zamuja z načrtom za jamstva za mlade; Bruselj ga pričakuje zelo kmalu,0
@AlesAvbelj poznaš NotateMe app? Zdaj testiram pa dobro dela.,1
RT @STA_novice: Slovenija zamuja z načrtom za jamstva za mlade; Bruselj ga pričakuje zelo kmalu,0
@cashkee Bravo:),1
"RT @MatejSpehar: Taka kriza je, da še za sneg nimamo. Je pač dež cenejši. Via #FB",0
"@MartinaKenda eh, so se same zacele motiti ;) ne uporablam telefona, ce vozim. Sm mal prej pizdil cez to ;)",0
@Mojcica83 Priporoceno nosijo tudi ob sobotah. Ti kaj posljemo? ;-) @Matino667,1
"Grem stavit, da ce bi blo tolk jamranja okol snega, bi ze bil, tko pa en gor uziva. Men pa tud pase ;)",1
Druga kava danes. Tak dan je.,0
"@RagnarBelial Saj ne rabim telefona, ker se itak ne maram pogovarjat :D",0
"Od daleč novi Golf, od blizu kitajski Qoros. #welcome http://t.co/kYlq09KGcr",0
Za lepši popoldan in lepši začetek vikenda preberite članek o Sončnicah in kako le te vrnejo veselje do življenja... http://t.co/dYs61aCD1V,1
V napadu na restavracijo v Dagestanu več mrtvih,0
Napis na polkilogramski posodici z arašidi: Izdelek lahko vsebuje sledi oreščkov. #noshitsherlock,0
Zanimivosti - Zaradi par tisočakov dolga s kamnom umoril Splitčanko | Dnevnik: V splitski bolnišnici je umrla ... http://t.co/DpwQLTjSUb,0
@mlinz lažejo te ;),0
"@roksrakar Hej, ce se odpovejo vsi, lahko se zmagamo!",1
Ameriški predsednik Obama za ukinitev spornega množičnega vohunjenja za Američani,1
Pogrešajo Jankovićevo. http://t.co/qcjarcCa7E,0
Medgeneracijsko prostovoljstvo http://t.co/PRRYYQI8gl,1
"@vesnchek kako pa ves, da nas zemlja ni evolvirala samo zato, ker si je pac malce zazelela vreck? ha? :)",0
Finančno sem se oznojil.,0
@Flajschman @vesnchek ja to je on rekel. resevanje planeta je nepotrebno. planet bo itak ok. mi se resujemo.,0
"Telefon je pameten, ker je dober za sledenje njegovih uporabnikov.",1
"Te zanima, kaj je tisto, kar moški na ženskah tako zelo obožujejo, da si z njo želijo ostati vse življenje?",0
@iRomana Chili pa česen ni nič pomagal? Potem ti pa ziher manjka crkljanje... ;),0
@SmoncaLmonca vreckarski lobi? :) se pa strinjam z ukinitvijo. V it nc ne manjka. Dobis bio izvedbo:),0
@descartes12345 Dva otroka sta odličen trening. / @strelovod,1
"@matjasec je pa lepo vedet, da si wanted ;) @p_zoran",1
Obama za ukinitev spornega množičnega vohunjenja za Američani  http://t.co/zKkQVcsASG,1
Lep pozdrav iz Avstralije ;) http://t.co/3WeQHENudK,1
"RT @SpletnaMladina: Namen nagrade za umetniške dosežke Jožetu Možini je izrazito političen, ne umetniški. http://t.co/iRYQUfPboV",0
Svet je čudovit. Life is good!!! Drugačne percepcije so stvar interpretacije.,1
"@Soulata @Scanius pa saj je na prejšnji seji 58x povedala, da ne obsoja, samo pač SDV ni humanitarna, ampak morilska organizacija.;)Eh",0
V Kp kradejo gorivo kar direkt iz avta. #neumnost ne pozna meja,0
"Na bruhanje mi gre, ko v bojda strokovnih revijah berem PR skropucala.",0
"Kam se prijavi podjetje, ki spama na SMS?",0
"@DarkoAP Prava ideja, moja:)",1
"Strongest man 2008 in 2012 (do 105kg TT), večkratni svetovni rekorder in podiralec guinessovih rekordov, dr.... http://t.co/FJE23cEw5k",1
"Strongest man 2008 in 2012 (do 105kg TT), večkratni svetovni rekorder in podiralec guinessovih rekordov, dr.... http://t.co/PkYvrOm11L",1
"@savicdomen Jezus… naprej Dim, pol še Savič… očitno bo res konec sveta :) (a-zato-dežuje?)",0
"3x na tv-ju, 2xčasopis, pa nej se kdo rece da nismo in:) sam žal zaradi negativnih strani... #daljnovod",0
"@drfilomena @jkmcnk @savicdomen Vi se zajebavate, ampak golaž-vampi.... You have no idea... :)",0
Bogatejši za 2 kratka dokumentarca: http://t.co/RWErKoR4Mi,1
Carski dan. Carski!,1
Jutri bom pujsa razbil. :),0
"Vse, kar človek rabi v življenju, je posušen mango direkt iz Filipinov.",1
"Sportne novice so na @RTV_Slovenija  veliko lepše, če jih predstavlja @SanjaModric. Lep večer:)",1
"Saj vem, saj vem… a res si želim videti Saviča &amp; Dimsija v isti zasedbi. Ker bo epsko. Za to tud KPK vržem pod avtobus.",1
"RT @pengovsky: Kako veš, da je tekst res napisal drVinko? Ker so vejice posejane naključno :) http://t.co/OMz4SqSS5R",0
"RT @praprotnix: Včasih si lahko sneg vsaj na televizorju videl, zdaj še tega ni več. #digitalnaTV",0
@p_zoran One so v bistvu nasledek Udbe :),0
RT @MZZRS: Na spletni strani MZZ smo danes objavili Javni razpis za projekte s področja mednarodnega razvojnega sodelovanja http://t.co/sIg…,1
Na Facebook-u sem objavil 19 slik v albumu Zimske aktivnosti - priprava na tečaj. http://t.co/xIs5P7NEyK,1
"Volk je sit, koza pa cela! Gremo na Evrosong 2014! http://t.co/ZX7w8TE6Ex",1
"Izobraževanje, ki ga organizira EGSA je eno izmed top izobraževanj v Sloveniji na področju strokovne vadbe.... http://t.co/7Y2DgpCs9e",1
"@BarbarAnkaran hihi... jasno, za nazaj jo je dobila :-)",0
"RT @juremes: Saj vem, saj vem… a res si želim videti Saviča &amp; Dimsija v isti zasedbi. Ker bo epsko. Za to tud KPK vržem pod avtobus.",1
"RT @fjeromel: @steinbuch Nismo enaki, smo kvečjemu enakopravni. Prav iz različnosti nastajajo velike ideje in uspehi.@finance_si http://t.c…",1
"Kot si javno zdravstvo zasluži pizdakanje,si brez dvoma tudi #pohvalo: IRM (Inštitut za medicinski rehab) v UKC ima učinkovito naročanje,1/2",0
"Baterije so drage, prjatli so zastonj",1
PZS: Svetovni pokal v tekmovalnem turnem smučanju 2014 in mednarodne tekme http://t.co/KvBPMa6APt,1
"@GalaAine Uh prezgodaj je še, da bi razumel... :)",0
@_Inja_ Bolje pozno kot nikoli. ;),1
@AlanOrlic majo tolk gretje naglas?? :)) (sej vem da streha pušča) :),0
"@gajmirtic jp,lani je bil račun 160 in se mi je zdel velik pa so rekl,da zato ker je zuni mrzlo.ne vem od kje zdj tak račun..",0
"@Kazen &amp; @Zlocin sta v teh krajih postala brat in sestra, le starsev ni nikoli doma, da bi razsodili kdo ima prav...",0
RT @HZlatko: “@radiostudent: Act civil. ReŠi RŠ! @supperman http://t.co/Zcz2eAxlm0” fasisti bi radi spet tekli in potem klicali Adolfa...,0
Pizda ostaje pizda!,0
Naslov Osebnost Primorske 2013 sta prejela Vladimir Krpan in pater Bogdan Knavs: http://t.co/oEO5cBTTTf Čestitamo! :-),1
RT @Val202: Flirrt bodo zagrizli v Izstekane ob 22.25.  na @val202. Switch za Jureta je ze pripravljen! http://t.co/otnYU0qX3h,1
"Našemu Dušan Košir - Duki-ju želimo čimprejšnje okrevanje in upamo, da dobro skrbi za medicinske sestre ;)",1
"RW swings both ways @rtl1025. Woohoo! Fantastično, posnetek koncerta na italijanskem radiu.",1
"Bono je menda zelo dobrodelen človek. Vedno igra ""pro Bono"".",1
RT @jmaticic: Uvod v #trženje produktov v začetku podjetniškega projekta. Naslednjič pa nadaljevanje. #kreativnost in #analize http://t.co/…,1
"Dame in gospodje, odkril sem prvo stvar v Hoferju, ki je boljša kot šparov produkt. #fyi http://t.co/JJIUAi7c8g",1
"@RTV_Slovenija 1.program - Noč modrijanov... pa kaj smo vam nerdili, da nas s tem mučite?",0
"Včasih napačni ljudje, ki nimajo kaj izgubiti, povejo tisto, kar misli veliko ljudi, pa si ne upa ali noče povedati. Lahko veliko izgubijo.",1
"Včasih bi z veseljem kliknil 'favorite button', a ni povsod te možnosti. Žal. :)",0
"HBO je spet naredil dobro serijo, True Detective.",1
"@strelovod Malo se praskam po glavi, kaj je tu cepitvena linija. Tisti, ki menijo, da imam dobre živce, in žalujoči ostali?",0
@MiranStajerc Hvala:-),1
@bvrhovnik @Rok_B V torek med predavanji skok po šnops;),1
"Ta dva pa že par let pametujeta o eni in isti stvari, naredila pa nista še prav nič. #odmevi #milic #semulic",0
Čez deset minut #Izštekani! Pri Juretu gostujejo Flirrt. http://t.co/fOSnTUhWEr,1
@opica Totalno svetohlinstvo.,0
"@Fitzroy1985 Kje pa, jaz pa res nisem nadut. Lahko greva tudi na kavico, hehe. Pod pogojem, da placam jaz! @ZaresGregor @petrasovdat",1
"Branje je grozno. Ne morem se odtrgat, če mi prasica pisateljska na koncu vsakega poglavja nastavi bombo. Odložila sem sredi poglavja. Ha!",0
"@DarjanK Ni nujno, da gre za malodušje ali apatijo. Preprosto odvzameš pomembnost in jo usmeriš drugam... ;)",0
@barjanski Ravno eno novo desko rabim. :D A to je cela znanost okol tega vidm :S,0
Šolska sekcija VSO Za domoljubje v šoli je predstavila novo spletno stran Domoljubje v šoli. Vabljeni k prebiranju! http://t.co/gmH7jTnLnj,1
@FranciKek Tako je! Super tekma in super zmaga!,1
"Ugotovil sem, da ni problem v meni. Kupil sem pulover, ki zaradi svojega magnetnega polja privlača vso hrano na poti v moja usta.",1
@LCuliberg očitno nisi razumel poante. cc @steinbuch,0
"Najbolj odbita predstava desetletja. Danes premiera SNG Drama. Ja, Mandić se spet sleče :) http://t.co/15wfr5rz0G",1
"@barbprek Uh, verjamem. Bo torej vse ok?",1
Še predstavitev za slovenščino pa sem konec. Za danes seveda.,1
"@Val202 aha ne vidim, ker je privat. Pohvale za flirrrrte :) @SanjaGornjec",1
"RT @praprotnix: Zlata lisica odpade, zato bomo Tino Maze poslali na Eurosong.",0
@mkragelnik Spored od polnoči do štirih je že zdaj na voljo: http://t.co/HiiYkNd2LO,1
"@LCuliberg Sem, zato pa smajli na koncu. :) @steinbuch",1
@karmennovak Še vedno pa pijem čaj :) @LCuliberg,1
@vahlc @leaathenatabako @BorutPahor Na TW mu je že čestital (Scheduled Tweet mistakenly published way too early),1
"@karmennovak Mislim, a ste mislil, da bo Stari kapituliral?! To je samo spin-off :) @LCuliberg",0
@CigojMilos @Avodovnik Drži. Kar pošljite prijavo.,1
Superman je pa tudi ena šleva.,0
Za domoljubje v šolah na povezavi: https://t.co/TzGkxsQART,1
"@USEmbassySLO need a translation? MT @Jure24ur 
Mussomelijeva ugotovitev, da bi levica preteklost prikrila, ... Tudi ce je tip sicer kreten.",0
@nkran Ne morem ti poslat ZS ...,0
"""Ne vem ce sem ze bla na zuru ka je mel tok folka twitter account.""",1
@nkran Ne gre. Da me nisi mogoče unfolow?,0
RT @RTV_Slovenija: Naslov Osebnost Primorske 2013 sta prejela Vladimir Krpan in pater Bogdan Knavs: http://t.co/oEO5cBTTTf Čestitamo! :-),1
"Če živiš med KMŠjem in Študentskimi dostkrat ne rabiš budilke. Pa izbiraš lahko med različnimi zvoki alarmov: petje, razbijanje kant...",0
"To zbujanje ob 5h zjutraj ni več zabavno, nič se ne dogaja in zunaj je tema.",0
V Bovcu srečanje Slovencev iz Videmske pokrajine in Posočja http://t.co/wk9ZW9V1hS,1
V Ljubljani se predstavlja 2700 psov iz 32 držav http://t.co/zWBWyOEWxw,1
Pred 100 leti se je rodil Vitomil Zupan http://t.co/j8rcgWKbTK,1
@Matino667 Glasujem za sonce. Lets go big!,1
Prvi intervju z Alonsom letos malo drugače! - A special interview with Fernando Alonso: http://t.co/FQ8b6FRzUO #F1SLO,1
"@strelovod 10 pik za vlečenje iz petnih žil, ampak ne gre čez. Zeh. Žal. Ne vem, kaj se ti je zgodilo, ampak po spominu si bil najprej ok.",0
.@ovtsa tudi čisto spodoben hostel je v bližini :-D,1
Uporabi Twitter in #VprasajPrevca  - @PS_Sportal http://t.co/cwzOvNm9j7,1
Na današnji tekmi na Rogli bo nastopilo dvanajst slovenskih deskarjev na snegu. http://t.co/EjJFaboJio,1
"Problem je, ker je Jože Možina čefur, pravi Goran Vojnović v tej lucidni kolumni! Hopa cupa urejeno http://t.co/GrbnrKdV9J",0
"Ustaj, debela, da me šetaš! http://t.co/wpRDZ3wy7s",0
"Kaj ima letalsko modelarstvo skupnega s snegom? Če je snega dovolj, se ti avion ne raztrešči, če strmoglavi.",1
"V Trnovem se vse bajte prodajajo za 400k eur, 50k gor/dol. Od arhitekturnih presežkov v taisti soseski se ti sicer le redko zvrti v glavi.",0
Zgodba o bombi v letalu in zavajanje Mladine | Reporter.si http://t.co/o89H5rprx9 via @RevijaReporter,0
RT @RevijaReporter: Zgodba o bombi v letalu in zavajanje Mladine | Reporter.si http://t.co/l8wt7eYowU via @RevijaReporter,0
"V Bistroju Zvezda nimamo samo dnevnih kosil, ampak tudi odličen samopostrežni zajtrk! Lepo vabljeni med 10:00-12:00 http://t.co/zyLS0wX2iE",1
".@zzTurk Pri prostoročnem telefoniranju sta obe roki prosti, pri telefoniranju v avtomatiku, je ena roka zasedena. Kajenje je druga zgodba.",1
"Alojzevo srce se je ustavilo, brez da bi še zadnjič videl izgubljeno hčer. Pomagajte jo najti, delite, prosim... http://t.co/B4qPgrVIgJ",0
RT @STA_novice: Večer bo že petnajstič razglasil Bob leta http://t.co/nXiS5Ei2Gw,1
"V slo. politiki sta ostala le še dva prava partijska povzpetnika - @BorutPahor in @JJansaSDS. http://t.co/IAur5DZEoj

Komentar @gregarepovz",1
"Air Jordan 3 retro že na voljo @
http://t.co/dkPz344GV3 http://t.co/5dlT3o6rER",1
@matevzg sliši se dobro :) @MihaMarkic,1
Izvršnima direktorjema slabe banke 21.500 evrov plače  http://t.co/WHQOXtRdNc,0
"@KatarinaJenko Ampak prej kot se zbudis, prej si lacen. And food is fun. So there. :)",1
"Ljubosomnost je prazaprav pomanjkanje samozavesti tistega, ko jo izraža. Bodite širokogrudni, živi in pusti živeti :). Preživite lep dan :)",1
Literatura odrezanih jezikov: Marija Pirjevec o pomenu narodne kulture. http://t.co/XFLgKZimYd,1
Šport - Takanašijeva v Tokiu do sedme zmage v sezoni | Delo: Japonska skakalka Sara Takanaši je zmagala na dom... http://t.co/5dHzSnlLaF,1
"Brazilski hotelirji samoomejili #sp2014 cene z novoletnimi, a trenutno najcenejši hotel na prizorišču 150€/noč http://t.co/Lbmhqsiroj",1
@karmennovak..mrzlo pivo za šankom z fletno kelnerco in direkten prenos dobrega fuzbala se z lahkoto postavi temu ob bok..:-P,1
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/Q5sZZMGrmD",1
@petrcaz Saj smo tako in tako sami domači :),1
"@BarbarAnkaran ahahaha, ne morem verjet, ta je tudi pri meni tista, ki vedno zmanjka! :) Naj pot ne bo predolga. :)",0
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/GRvVy1BNd8",1
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/9M9RZzLOWm",1
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/c9d44bB51Q",1
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/yXHLqJQHWm",1
"če ti je pesem všeč pritisni lajk, v sredo ob 22 uri je na radiu salomon na sporedu fb lestvica. LESTVICA je... http://t.co/VpJem9tHwR",1
Dari Južna bo kot družbeno koristno delo opravljal mešanje zraka. Morda bo zato v Ljubljani skozi leto manj megle. #1260ur,0
Jutri čez dan bodo reke močneje narasle http://t.co/Rnv7HfcUBB,0
Državni sekretar Levanič (SD) se požvižga na predpise in med vožnjo telefonira | Reporter.si http://t.co/cWQrevfvqC via @RevijaReporter,0
Zgodba o bombi v letalu in zavajanje Mladine | Reporter.si http://t.co/CHeoigxssU via @RevijaReporter,0
Ostrigel sem se na nulo. Cool je.,1
RT @JozeBiscak: Zgodba o bombi v letalu in zavajanje Mladine | Reporter.si http://t.co/CHeoigxssU via @RevijaReporter,0
@russhie to se men skoz dogaja in pol maham z rokami kot bi bil mal prtegnen! ;),0
Na južni ljubljanski obvoznici je zaradi prometne nesreče pred priključkom Ljubljana-zahod oviran promet proti Kozarjam.,0
"@dejandular @rtvslo aleluja, novi odresenik je tu!",1
RT @RevijaReporter: Stric iz ozadja: Vse žrtve vlade iz podzemlja | Reporter.si http://t.co/ND4xVHNGze via @RevijaReporter,0
"moj govor o hoji po žici na podelitvi Zlatih hrušk v Cankarjevem domu (november 2013). Upam, da vas navdihne za... http://t.co/LqKWoFkGvQ",1
Če kdo išče svoje najjubše #pivo... http://t.co/fDBVA36upr,1
TedX zgodba: malce motivacijskega zagona za to depresivno vreme. | Dnevnik http://t.co/clbjuHDfOp,1
Benedikt XVI. samo v letih 2011 in 2012 zaradi zlorab otrok razrešil 400 duhovnikov,0
"@Rok_DS rekel sem, da so komisije nepotrebne,če UO o vsem odloča.Also,strinjal se boš, da utemeljitev UO ni bila prepričljiva.",0
"Včeraj odpovedana Zlata lisica, tako da danes en kup ljudi pretaka vino iz karnistrov nazaj v lagve!",1
Čez dve uri #VklopiPrihranek od 14. do 16. ure (18.1.2014) in prihrani 30%  redne cene električne energije. Več na http://t.co/JzK4sTw16N,1
"@tibonalta sem v dobri druzbi, ni kaj :))",1
@Moj_ca pol bom rekel samo wow :) kolk je pa star?,1
"@BorisDroid Bong. :P 

Domuje med drugim tudi na svetih straneh facebooka :)))",1
Všeč mi je videoposnetek @YouTube http://t.co/0UUURnrZob Black Sabbath (13 - 2013) - full álbum,1
@dfiser3 @huferka Upanje umre zadnje. ;-),1
"@peterka5 sej nam sploh ni hudga, imamo idealno sosesko, super sosede&amp;krasen flet, tko da bo tud po najbolj črnem scenariju carsko! @huferka",1
Položnice. Bojte se. http://t.co/rnsH8lSzzr,0
"Dolgčas, ta pasja razstava na GR. Moraš bit prav profi, da je zanimivo. Po mojem je še Tito bolj zabaven. Ampak to pa iz principa ne.",0
Danes ni gužve v shoping centrih...,1
@bosstjanz kakšna je to pasma?,1
"@Rok_DS Dejstvo je, da je UO povozil komisijo in vse dosedanje slabe kritike Možinine reportaže ter se pri tem skliceval le na senioriteto",0
@matejzalar Jaz ga imam v istem rangu kot Linkedin - edino tadva mi nenehno morita z mejli. NENEHNO! @tyschew,0
Zdei se v kovckih prodajajo po kaficih robo? #vednonekajnovega #nicvecsamovfilmih,0
"@peterka5 @streetof Joj, ne, to je PayPal nateg!",0
"@DanielKalan Seveda, tudi @R_Kubica sem! Bo vse v galeriji! :)",0
